id,gender,age,spend,location,month
0001,F,47,34.55,Maryland,nov
0002,M,52,36.83,California,oct
0003,F,24,291.37,Washington,oct
0004,F,46,90.37,Pennsylvania,nov
0005,M,54,272.71,Maryland,sep
0006,F,44,114.91,North Dakota,dec
0007,F,84,122.11,Wisconsin,dec
0008,M,33,184.25,North Carolina,aug
0009,M,41,270.56,New York,apr
0010,M,67,236.2,Oklahoma,dec
0011,F,52,180.61,Missouri,feb
0012,M,20,226.69,North Carolina,nov
0013,F,22,61.97,Mississippi,nov
0014,M,19,200.02,Ohio,jan
0015,F,86,107.22,Texas,nov
0016,M,33,102.88,Connecticut,mar
0017,F,58,95.09,California,feb
0018,M,42,52.03,Arizona,mar
0019,M,46,198.41,Texas,jul
0020,M,51,263.42,California,jun
0021,F,21,18.87,Indiana,mar
0022,F,36,225.55,Ohio,nov
0023,M,54,128.83,Ohio,sep
0024,F,20,183.84,Illinois,dec
0025,F,19,126.92,Indiana,aug
0026,F,26,261.53,Oregon,jan
0027,F,49,234.36,California,sep
0028,F,68,281.32,Hawaii,jan
0029,M,51,56.75,Georgia,dec
0030,F,49,259.65,Mississippi,nov
0031,M,23,265.83,Texas,nov
0032,F,18,8.31,Oklahoma,apr
0033,M,23,100.21,Kansas,apr
0034,M,18,155.36,Kentucky,aug
0035,F,24,76.27,Texas,oct
0036,F,68,276.77,Pennsylvania,apr
0037,F,36,83.94,Pennsylvania,jul
0038,F,26,100.83,Florida,nov
0039,F,34,277.9,Montana,apr
0040,F,18,98.83,Iowa,nov
0041,M,36,90.36,Minnesota,nov
0042,F,19,106.73,Georgia,jun
0043,M,18,11.77,North Carolina,apr
0044,F,27,171.57,Georgia,oct
0045,M,36,184.86,Indiana,nov
0046,M,23,95.63,Missouri,nov
0047,M,21,243.45,Ohio,may
0048,F,84,258.74,Colorado,apr
0049,F,38,131.33,Pennsylvania,may
0050,F,18,84.34,Colorado,mar
0051,F,22,89.14,Iowa,aug
0052,F,39,254.32,Arizona,nov
0053,F,22,125.69,Maryland,feb
0054,F,70,92.62,Mississippi,feb
0055,M,24,33.71,Massachusetts,jun
0056,F,55,184.42,Nevada,dec
0057,F,75,28.46,Oklahoma,dec
0058,F,19,119.21,Alabama,aug
0059,F,19,274.92,Texas,dec
0060,F,18,280.78,New Mexico,nov
0061,M,53,112.37,Florida,nov
0062,M,74,240.59,Florida,apr
0063,F,50,121.56,New York,jul
0064,M,24,210.97,Texas,feb
0065,M,47,19.65,Rhode Island,nov
0066,M,21,99.71,Florida,aug
0067,F,51,218.39,Illinois,dec
0068,F,35,283.22,California,feb
0069,F,44,239.66,Washington,sep
0070,F,52,109.75,Texas,nov
0071,F,21,132.18,Texas,may
0072,M,49,167.87,Alaska,jun
0073,F,32,173.24,Texas,dec
0074,F,84,298.28,Ohio,dec
0075,F,36,156.91,Missouri,dec
0076,F,23,98.78,California,mar
0077,M,22,178.58,Utah,apr
0078,M,32,281.71,Colorado,dec
0079,F,29,226.41,Arkansas,feb
0080,F,50,133.6,Utah,nov
0081,M,19,6.1,Georgia,aug
0082,F,54,181.71,Virginia,may
0083,F,67,216.27,Alabama,apr
0084,M,74,37.31,Texas,nov
0085,F,18,59.44,Pennsylvania,apr
0086,F,53,263.72,Massachusetts,sep
0087,F,40,7.61,California,dec
0088,M,22,12.1,Pennsylvania,jan
0089,F,38,280.71,Illinois,jan
0090,F,42,118.53,Virginia,aug
0091,F,23,110.26,California,nov
0092,M,41,52.56,Colorado,nov
0093,F,50,56.01,Michigan,apr
0094,M,53,31.6,Georgia,feb
0095,M,23,188.23,Texas,dec
0096,F,56,14.06,Florida,dec
0097,F,20,195.11,South Carolina,sep
0098,M,31,280.55,Illinois,apr
0099,F,97,254.31,North Carolina,feb
0100,M,20,114.36,North Dakota,nov
0101,F,35,117.12,California,jan
0102,F,64,181.05,Florida,sep
0103,M,54,213.1,California,feb
0104,M,54,25.39,Illinois,nov
0105,F,73,288.16,New Hampshire,nov
0106,F,71,46.71,Florida,dec
0107,M,42,280.12,Georgia,apr
0108,M,20,212.82,North Carolina,mar
0109,F,79,149.0,Texas,apr
0110,F,48,298.17,New York,nov
0111,M,24,94.55,Illinois,sep
0112,F,50,94.37,Ohio,dec
0113,F,24,283.25,Arkansas,dec
0114,F,24,149.38,Virginia,nov
0115,F,86,97.89,California,mar
0116,F,50,244.24,Louisiana,apr
0117,F,79,64.48,Illinois,jan
0118,M,35,269.33,Montana,nov
0119,F,19,142.14,Virginia,jul
0120,F,20,248.7,California,sep
0121,F,24,287.82,Montana,oct
0122,F,23,185.24,Pennsylvania,oct
0123,F,24,145.73,California,dec
0124,F,19,5.32,Washington,oct
0125,M,91,134.25,Florida,nov
0126,M,62,232.34,Iowa,apr
0127,M,84,85.68,New Jersey,nov
0128,F,51,103.99,Tennessee,aug
0129,F,35,35.33,California,oct
0130,F,18,270.15,Kansas,feb
0131,M,91,22.34,Washington,apr
0132,F,18,85.23,Alabama,nov
0133,M,31,47.87,Iowa,nov
0134,F,81,66.06,California,dec
0135,F,27,260.95,Virginia,sep
0136,M,73,224.8,Florida,may
0137,F,44,42.6,California,oct
0138,F,25,260.28,Illinois,jul
0139,F,64,279.68,New York,sep
0140,F,19,17.31,Arizona,dec
0141,F,24,146.41,Florida,nov
0142,M,85,113.87,Virginia,feb
0143,F,21,263.62,Pennsylvania,feb
0144,M,22,195.83,Texas,feb
0145,F,55,33.01,Louisiana,dec
0146,F,24,127.8,New York,nov
0147,M,42,77.35,Texas,feb
0148,F,66,223.46,Florida,oct
0149,F,83,27.41,Nevada,may
0150,F,18,128.69,Nevada,aug
0151,F,18,40.44,Illinois,oct
0152,F,28,128.34,California,apr
0153,F,89,30.38,California,dec
0154,M,74,259.6,Ohio,jan
0155,F,49,193.24,Florida,oct
0156,F,43,62.92,North Carolina,oct
0157,F,56,280.12,New York,feb
0158,F,31,165.72,Wisconsin,nov
0159,F,25,62.23,New York,oct
0160,F,47,80.06,Massachusetts,jan
